Date;Lights [kWh];Total [kWh]
30/12/2022 23:00;26,155265;40,90108972
31/12/2022 23:00;26,13660917;40,80957056
1/1/2023 23:00;26,39660806;43,03862083
2/1/2023 23:00;36,65866917;63,4479625
3/1/2023 23:00;35,83098139;62,91908111
4/1/2023 23:00;35,70583167;58,67487417
5/1/2023 23:00;30,95078417;44,45910417
6/1/2023 23:00;31,41823667;45,87799722
7/1/2023 23:00;30,77613167;44,22591417
8/1/2023 23:00;39,89995389;69,95068889
9/1/2023 23:00;40,41180805;68,98957333
10/1/2023 23:00;41,46395889;73,05163806
11/1/2023 23:00;38,39398194;64,91557722
12/1/2023 23:00;36,26307083;63,77427833
13/1/2023 23:00;20,37464361;36,21334806
14/1/2023 23:00;19,65755556;33,336485
15/1/2023 23:00;31,05780167;55,80348361
16/1/2023 23:00;29,39336056;58,98426028
17/1/2023 23:00;28,72392444;52,33761889
18/1/2023 23:00;24,54550056;42,67499472
19/1/2023 23:00;25,22243278;42,26414111
20/1/2023 23:00;16,4578975;26,44083722
21/1/2023 23:00;16,46292972;26,12738028
22/1/2023 23:00;26,887235;47,33207139
23/1/2023 23:00;26,61119167;47,07787278
24/1/2023 23:00;24,6049475;44,61548917
25/1/2023 23:00;26,92514278;51,47782972
26/1/2023 23:00;26,34762667;48,72288472
27/1/2023 23:00;17,76853583;29,82717
28/1/2023 23:00;14,70103611;23,36900111
29/1/2023 23:00;26,34905111;48,52788306
30/1/2023 23:00;27,05113722;46,00171417
31/1/2023 23:00;25,39692583;48,44621528
1/2/2023 23:00;24,48464195;48,9755525
2/2/2023 23:00;25,63590917;46,92845139
3/2/2023 23:00;13,98569278;26,55677833
4/2/2023 23:00;13,86890667;26,33805361
5/2/2023 23:00;25,08098556;47,5903775
6/2/2023 23:00;24,51091972;51,85738667
7/2/2023 23:00;28,04100806;58,46553222
8/2/2023 23:00;26,95903389;52,98818694
9/2/2023 23:00;27,33834639;53,01595889
10/2/2023 23:00;16,51889694;28,34043167
